cid,brand,sentiment,nps,intent,att_respected,att_friendly,att_unique,att_efficient,att_affordable,att_innovative,att_knowledgeable,att_indispensable,att_caring,att_visionary,att_ethical,att_collaborative,att_effective,att_open,att_mission_driven,att_reliable,att_credible,att_quality_driven,revenue,patients,yip,happiness,focus,oi,brand_orientation,practice_area,env
468749705,Verity Diagnostics,5,10,5,4,5,3,3,4,4,5,3,5,2,5,5,4,4,4,5,5,5,3,175,11,5,1,24,1,2,1
468758061,Verity Diagnostics,4,9,4,5,5,4,5,4,4,4,3,5,4,5,4,4,4,4,4,5,4,3,260,15,2,2,22,2,2,1
468783724,Verity Diagnostics,2,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,249,15,5,1,27,2,2,2
468784605,Verity Diagnostics,5,10,5,5,4,4,5,3,4,5,4,5,5,4,4,5,4,5,5,5,5,3,248,8,4,1,20,1,2,1
468794483,Verity Diagnostics,2,5,3,5,3,2,4,3,3,4,1,3,3,3,3,3,3,3,5,5,4,3,177,8,5,2,24,1,2,1
468806478,Verity Diagnostics,5,10,1,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,5,4,4,4,341,18,1,1,32,2,2,1
468874659,Verity Diagnostics,5,10,5,5,5,3,4,4,3,4,3,3,4,3,5,5,4,5,5,5,3,2,166,9,3,1,26,1,2,1
468883264,Verity Diagnostics,4,8,4,4,3,4,4,4,5,5,3,4,3,4,4,5,3,4,5,3,4,4,332,23,4,2,32,2,2,2
469009420,Verity Diagnostics,2,7,2,5,3,4,4,4,3,3,4,4,4,4,3,4,4,2,5,5,4,2,192,7,3,1,27,2,2,1
469322250,Verity Diagnostics,5,8,5,3,5,4,5,4,5,5,5,4,4,4,5,5,5,4,4,3,3,4,300,18,2,2,33,1,2,2
469359948,Verity Diagnostics,4,5,3,5,3,2,4,2,4,4,2,1,4,3,2,4,3,5,5,5,4,3,256,8,4,2,27,2,2,2
469362262,Verity Diagnostics,4,9,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,185,13,3,1,30,1,2,1
469440520,Verity Diagnostics,2,6,4,3,2,2,2,1,3,4,1,3,2,3,3,3,2,3,3,4,3,3,217,13,1,1,19,2,2,1
469441579,Verity Diagnostics,5,9,5,5,5,4,5,3,5,5,5,5,4,5,4,4,4,4,5,5,4,2,165,10,5,2,22,2,2,2
469466019,Verity Diagnostics,5,10,5,5,5,5,4,4,4,4,4,5,4,4,5,4,4,5,5,5,4,3,170,5,3,1,17,2,2,1
469481036,Verity Diagnostics,4,7,4,5,4,3,4,2,5,5,3,3,4,5,5,4,4,4,5,5,4,4,360,22,4,1,29,1,2,2
469483250,Acugen Health,2,6,3,3,2,2,4,2,3,4,3,2,3,3,3,3,3,3,4,3,3,2,160,12,3,1,30,2,2,2
469491977,Verity Diagnostics,5,8,5,5,4,5,5,5,5,3,3,1,5,5,4,3,5,5,5,5,5,2,170,9,5,2,23,2,2,1
469528759,Verity Diagnostics,2,5,1,5,4,3,4,5,3,5,5,2,3,4,4,4,5,5,5,5,5,3,186,8,5,1,28,1,2,1
469602318,Verity Diagnostics,2,3,2,3,1,3,2,1,4,3,1,1,2,2,2,2,2,3,3,3,2,4,316,19,4,1,33,1,2,2
469649265,Acugen Health,2,6,3,3,2,2,3,1,3,4,2,2,1,3,2,3,3,1,2,3,1,3,235,7,4,1,17,2,2,1
469917893,Moonshot Clinical,4,10,3,5,3,4,3,4,5,4,2,3,3,4,3,5,4,3,5,5,5,2,173,10,4,1,17,2,1,2
469919112,Moonshot Clinical,5,9,4,4,4,3,5,4,5,5,3,4,4,4,4,5,4,3,5,5,4,3,276,13,4,1,21,2,1,1
469928698,Moonshot Clinical,2,6,2,3,3,4,3,3,4,3,1,3,3,3,3,4,3,3,3,4,5,4,327,27,3,1,32,2,1,1
469929540,Moonshot Clinical,4,6,4,4,3,4,4,3,4,4,3,2,4,3,2,4,4,4,5,4,5,3,196,7,1,1,27,2,1,1
469929872,Moonshot Clinical,4,9,5,4,4,3,4,3,5,4,3,4,4,5,4,4,3,3,4,4,3,3,172,2,5,1,21,2,1,3
469932579,Moonshot Clinical,4,7,3,4,4,3,4,2,2,3,1,3,4,3,3,3,4,3,4,4,4,2,177,9,3,1,26,2,1,1
469932832,Moonshot Clinical,5,9,5,4,5,4,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,3,206,9,3,2,20,1,1,1
469934114,Moonshot Clinical,4,9,5,4,4,5,5,4,5,5,4,4,5,5,4,5,5,5,4,4,5,3,176,5,5,1,27,2,1,1
469934763,Moonshot Clinical,4,7,4,3,4,4,5,3,4,4,4,4,3,4,4,4,4,4,5,4,4,2,167,3,4,1,19,2,1,1
469935342,Moonshot Clinical,5,8,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,257,8,3,2,27,2,1,1
469935534,Moonshot Clinical,4,9,5,5,4,4,4,4,5,5,3,5,5,5,4,5,4,5,4,5,5,3,268,9,1,2,28,1,1,1
469936193,Moonshot Clinical,5,10,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,5,4,5,3,220,15,2,1,22,1,1,1
469938259,Moonshot Clinical,5,10,5,5,4,5,5,4,5,5,4,4,4,5,4,5,4,4,5,5,5,1,146,4,3,1,22,2,1,1
469939335,Moonshot Clinical,5,9,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,203,13,4,2,25,2,1,1
469939696,Moonshot Clinical,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,179,5,5,1,23,1,1,1
469941271,Moonshot Clinical,4,7,4,3,3,4,4,3,5,4,2,4,4,4,4,4,3,3,4,5,5,3,192,15,2,1,19,2,1,1
469942316,Moonshot Clinical,4,7,4,3,4,4,3,2,4,3,2,2,4,2,2,4,3,3,4,3,3,3,237,12,4,1,16,2,1,1
469942564,Moonshot Clinical,4,8,4,3,3,3,5,4,4,3,2,3,3,3,3,4,4,4,4,3,4,3,248,13,3,1,25,1,1,1
469943178,Moonshot Clinical,4,9,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,3,221,13,4,1,20,2,1,2
469945571,Moonshot Clinical,4,7,4,4,3,3,3,2,5,4,2,3,3,4,4,3,3,2,4,3,3,3,244,13,3,2,23,2,1,1
469946054,Moonshot Clinical,2,7,4,4,3,4,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,2,196,11,4,1,23,2,1,1
469947230,Moonshot Clinical,5,10,5,5,4,5,5,3,5,5,4,5,5,4,4,5,4,5,5,5,5,2,146,7,4,2,22,2,1,1
469948649,Moonshot Clinical,4,8,4,4,4,4,5,2,4,4,4,4,4,4,5,5,4,4,5,4,4,2,163,2,4,2,21,1,1,1
469951042,Moonshot Clinical,5,10,4,5,5,5,4,4,5,5,5,4,5,4,4,5,4,4,4,5,5,2,167,3,3,2,21,2,1,1
469951358,Moonshot Clinical,4,7,4,3,3,3,3,4,5,4,2,3,3,3,3,4,3,3,4,4,4,3,252,10,3,2,28,1,1,3
469957051,Moonshot Clinical,5,10,5,4,4,5,5,3,5,5,5,5,4,4,4,5,4,5,5,4,5,2,176,3,4,1,28,1,1,1
469991152,Verity Diagnostics,4,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,250,11,3,1,19,1,2,1
470277980,Verity Diagnostics,5,10,5,5,4,4,4,4,5,4,3,4,5,4,4,4,4,3,5,5,4,2,173,9,5,1,24,2,2,1
470305570,Verity Diagnostics,4,9,4,5,4,3,4,4,3,4,3,4,4,4,4,3,3,3,5,5,4,2,197,7,5,1,27,2,2,1
470339820,Acugen Health,5,10,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4,5,1,165,4,2,2,19,2,2,1
470353790,Verity Diagnostics,5,9,4,5,3,4,4,3,5,4,3,4,4,4,4,4,3,5,4,5,5,3,227,14,3,2,28,2,2,1
470452743,Verity Diagnostics,5,10,5,5,5,4,4,4,5,5,4,5,5,5,5,4,4,5,4,5,5,4,316,24,2,2,28,1,2,2
470874226,Acugen Health,5,9,5,4,2,2,4,2,3,4,3,2,3,3,2,5,2,3,5,5,4,1,162,9,3,1,19,1,2,1
470944509,Acugen Health,5,9,5,4,4,4,4,3,4,4,3,4,3,4,4,5,4,4,4,4,4,4,296,26,2,1,31,1,2,1
470972584,Verity Diagnostics,5,7,5,5,5,4,5,5,4,5,4,5,5,4,4,5,5,5,5,5,5,3,194,9,3,2,22,2,2,1
470987380,Acugen Health,2,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,232,15,3,1,20,2,2,2
470993400,Verity Diagnostics,2,6,3,2,2,1,3,2,2,2,1,1,2,1,1,2,2,1,4,4,3,3,216,13,2,1,25,1,2,1
471067548,Acugen Health,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,273,17,4,1,17,2,2,1
471104146,Verity Diagnostics,5,8,3,5,4,3,4,2,4,4,3,3,4,4,4,5,4,3,5,5,4,3,240,10,2,1,15,2,2,2
471120020,Verity Diagnostics,4,8,4,5,4,4,4,3,3,4,2,4,3,4,4,4,3,4,5,4,5,3,236,11,1,1,20,1,2,1
471123373,Verity Diagnostics,2,5,3,3,4,3,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,3,216,7,4,1,27,2,2,1
471160057,Acugen Health,5,8,4,5,2,2,3,1,4,4,3,4,4,4,3,4,3,4,4,4,4,5,309,23,3,2,31,1,2,1
471275365,Verity Diagnostics,5,9,5,5,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,311,20,2,1,32,2,2,1
471316494,Verity Diagnostics,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,266,12,3,2,19,2,2,1
471328626,Verity Diagnostics,5,8,4,5,3,2,4,2,4,5,1,3,3,5,3,5,2,4,4,4,4,2,170,14,3,1,25,1,2,2
471421521,Verity Diagnostics,4,6,4,5,4,3,5,4,4,5,2,4,4,4,4,5,4,3,4,4,4,3,189,11,4,2,28,1,2,1
471423668,Verity Diagnostics,4,8,3,4,3,2,4,3,4,4,1,3,3,4,4,4,4,4,5,4,5,2,179,12,4,1,32,1,2,1
471448561,Verity Diagnostics,4,8,4,3,5,4,3,3,4,4,2,4,3,5,3,4,3,4,4,4,4,2,169,4,4,1,26,1,2,1
471453929,Verity Diagnostics,5,10,4,5,3,5,5,3,5,5,4,2,5,5,5,4,5,5,4,4,5,3,304,23,4,2,29,1,2,2
471459583,Verity Diagnostics,5,10,5,5,5,5,5,3,5,5,4,3,5,4,4,5,4,4,5,5,5,3,244,16,3,2,20,1,2,1
471463859,Acugen Health,4,8,3,4,3,2,4,1,4,5,3,3,3,3,4,4,3,3,4,4,4,3,192,8,4,2,28,2,2,1
471466037,Verity Diagnostics,5,9,4,5,4,3,3,4,5,5,3,4,3,5,5,4,5,4,5,5,4,4,245,15,4,2,17,1,2,2
471474017,Verity Diagnostics,5,9,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,3,191,8,1,1,23,1,2,1
471547319,Verity Diagnostics,4,9,2,4,4,4,4,2,5,3,3,3,3,4,3,4,4,3,4,4,4,3,236,10,4,2,28,1,2,2
471549892,Verity Diagnostics,4,7,4,4,3,4,3,3,4,4,3,4,4,4,3,4,4,4,4,4,4,3,265,11,4,2,18,1,2,2
471550979,Verity Diagnostics,4,10,5,4,5,3,5,4,5,4,4,5,4,5,4,5,5,3,4,4,5,3,209,6,5,1,30,1,2,2
471560949,Acugen Health,5,7,3,5,1,2,4,2,5,4,2,4,5,4,2,5,3,3,5,5,4,3,186,10,3,1,29,1,2,1
471561156,Verity Diagnostics,5,9,5,5,3,3,4,3,5,5,5,3,4,5,4,5,5,4,5,5,5,4,320,34,3,2,30,1,2,1
471564220,Verity Diagnostics,4,7,4,4,3,4,4,3,4,4,4,3,3,4,4,3,4,5,4,5,4,2,157,15,4,1,29,1,2,2
471565178,Verity Diagnostics,5,9,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,169,6,5,1,29,2,2,1
471581969,Acugen Health,5,10,5,5,4,4,5,3,5,5,3,4,5,4,4,5,4,5,5,5,5,2,198,12,4,2,27,1,2,1
471589529,Verity Diagnostics,5,10,5,4,5,4,4,2,5,3,2,2,4,5,5,5,5,5,4,4,5,3,179,4,2,2,28,1,2,2
471592248,Verity Diagnostics,5,9,5,5,4,4,4,3,5,4,3,4,4,4,4,4,3,4,4,4,5,4,348,29,1,1,33,1,2,1
471640702,Verity Diagnostics,5,10,5,5,1,1,5,1,5,5,5,1,5,5,1,5,1,3,5,5,5,3,256,16,3,1,19,1,2,1
471696238,Acugen Health,2,5,3,4,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,2,177,5,4,2,23,1,2,1
471698267,Verity Diagnostics,5,10,5,5,5,3,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,3,191,12,4,2,30,1,2,2
471708225,Verity Diagnostics,5,10,5,4,5,5,5,2,4,5,4,5,5,4,4,4,5,3,4,4,5,2,175,7,4,1,29,1,2,2
471711905,Acugen Health,4,7,3,4,2,2,3,4,4,1,2,2,4,4,3,4,3,3,3,4,4,3,251,10,4,1,20,1,2,1
471714696,Acugen Health,4,8,4,3,2,2,2,1,3,2,2,1,3,3,3,2,2,3,2,3,1,2,177,7,3,1,30,2,2,1
471725232,Acugen Health,4,7,3,3,3,1,3,3,3,4,2,3,3,3,3,3,4,3,4,4,4,3,141,14,3,1,22,2,2,1
471725475,Acugen Health,5,10,5,5,3,4,5,1,5,4,3,3,5,3,4,4,2,4,4,5,5,1,155,8,4,1,21,1,2,1
471749407,Acugen Health,4,9,4,5,4,4,4,4,4,5,3,4,3,4,4,4,3,3,5,5,4,2,244,13,4,1,29,2,2,1
471768161,Acugen Health,5,10,4,5,5,3,4,3,5,5,4,5,4,5,5,5,5,5,5,5,5,3,165,6,4,1,25,2,2,1
471770283,Acugen Health,5,10,5,5,5,5,5,4,5,5,5,4,5,4,5,5,4,4,5,5,5,2,159,10,1,2,25,2,2,2
471781496,Acugen Health,4,9,3,5,3,3,2,2,4,4,1,3,3,3,3,4,4,4,5,4,5,2,144,5,3,2,21,1,2,2
471782964,Acugen Health,5,9,4,5,4,3,4,4,4,3,3,3,3,4,3,5,3,3,4,5,3,2,187,15,2,2,24,2,2,1
471799465,Acugen Health,5,9,5,5,4,4,4,3,5,5,3,4,5,4,4,5,4,4,5,4,4,3,240,9,4,2,24,2,2,1
471891657,Acugen Health,4,10,5,5,3,3,4,1,5,5,3,3,5,4,4,4,3,4,5,5,5,3,171,7,4,1,27,1,2,1
471892568,Acugen Health,5,8,4,4,4,4,5,3,4,5,4,3,3,4,3,4,4,4,5,5,4,3,215,11,3,1,28,1,2,1
471898554,Acugen Health,5,7,5,4,3,3,4,3,4,5,3,3,4,3,4,4,3,3,4,5,3,2,195,17,5,1,26,1,2,1
471898722,Acugen Health,4,9,2,4,3,2,4,3,4,4,2,3,3,4,3,4,3,4,4,4,4,2,237,6,1,2,19,1,2,2
471905800,Acugen Health,1,3,2,3,1,2,3,1,5,4,1,1,4,1,2,5,1,1,2,5,4,2,176,4,4,2,29,2,2,1
471912365,Acugen Health,5,10,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,200,19,4,1,25,1,2,1
471919576,Acugen Health,5,10,5,5,4,4,4,4,5,5,5,4,4,4,5,5,4,5,5,5,5,3,158,13,3,1,27,1,2,1
471925064,Acugen Health,4,10,4,5,3,2,4,4,3,4,2,4,2,4,2,5,3,3,4,4,3,3,182,8,4,1,28,2,2,1
471925100,Acugen Health,4,7,3,4,3,1,4,2,3,4,1,3,3,4,3,4,3,3,4,4,4,2,191,10,4,1,29,2,2,1
471950550,Acugen Health,2,7,2,3,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,180,14,2,1,28,1,2,1
471971367,Acugen Health,5,10,1,5,4,1,2,1,5,5,2,3,5,3,4,4,3,5,4,5,4,2,186,5,5,1,20,1,2,1
472004862,Acugen Health,4,10,4,5,4,4,4,2,5,5,4,3,5,5,5,4,4,4,4,5,5,2,168,3,4,2,16,2,2,1
472093823,Acugen Health,4,8,3,4,2,2,3,2,3,4,2,2,2,3,3,4,3,3,4,4,4,2,183,9,5,1,22,1,2,1
472193266,Acugen Health,5,9,3,5,3,3,4,3,4,5,4,4,4,3,4,5,5,4,5,5,5,1,163,7,5,2,19,2,2,2
472204665,Acugen Health,4,8,4,4,4,3,4,3,4,4,2,3,4,4,4,4,3,3,4,4,4,3,149,8,4,1,15,1,2,1
472205433,Acugen Health,4,6,3,3,3,2,2,3,2,2,2,2,2,3,2,3,2,2,3,3,2,2,191,10,3,1,25,2,2,3
472242066,Acugen Health,4,7,3,5,3,1,3,5,3,5,3,3,2,3,3,4,2,3,4,5,3,3,240,8,3,2,27,1,2,1
472247689,Acugen Health,5,10,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,267,8,4,2,22,2,2,1
472342581,Acugen Health,5,10,5,4,4,4,4,3,4,4,4,4,5,4,4,4,5,5,5,4,5,2,176,7,5,2,21,2,2,1
472370421,Acugen Health,5,7,3,5,3,3,4,4,4,4,3,3,4,4,4,3,4,4,5,4,5,2,162,6,3,2,19,2,2,1
472586265,Acugen Health,4,8,4,3,2,3,3,2,3,4,2,1,2,3,2,3,2,2,4,3,4,3,257,12,3,1,15,2,2,1
472626752,Acugen Health,5,9,5,5,4,4,4,3,5,5,4,3,4,4,5,4,4,4,5,5,5,2,153,6,4,1,22,2,2,2
472641817,Acugen Health,5,9,4,5,4,3,4,3,4,5,3,4,5,5,4,4,5,5,5,5,5,2,136,9,5,2,19,2,2,1
472663084,Acugen Health,5,10,5,4,5,4,4,4,4,5,4,4,5,5,5,5,4,5,4,5,5,3,266,14,4,2,21,2,2,2
472687399,Acugen Health,4,9,4,4,2,5,5,3,3,4,4,2,3,4,2,4,3,3,4,4,4,3,234,11,3,1,20,1,2,1
472688434,Acugen Health,5,10,5,5,4,4,5,4,4,4,4,5,4,4,4,5,3,4,4,5,4,3,262,12,1,1,22,1,2,1
472742534,Acugen Health,4,9,4,5,3,3,4,4,5,4,3,3,4,5,3,5,3,2,5,4,4,3,205,8,1,1,32,2,2,1
472774174,Acugen Health,4,7,2,5,3,2,4,2,4,4,3,4,3,4,3,4,3,4,4,5,4,4,301,22,3,2,30,1,2,1
472774670,Acugen Health,5,8,3,5,4,5,5,5,4,4,4,4,5,5,5,5,4,5,4,5,4,1,165,11,5,1,19,1,2,1
472775213,Acugen Health,2,7,2,4,4,1,4,4,3,4,1,3,3,4,4,4,3,3,4,4,4,2,173,4,3,2,18,1,2,2
472803816,Acugen Health,1,2,2,2,3,2,1,2,1,3,1,2,1,4,2,2,3,1,1,2,2,3,274,14,3,1,21,1,2,1
472837406,Acugen Health,5,9,5,4,3,4,5,3,4,5,3,5,4,4,4,4,4,4,5,5,5,3,204,13,3,1,33,2,2,1
472860672,Acugen Health,4,8,4,4,3,3,3,2,3,4,2,3,4,3,3,3,3,4,3,4,3,2,170,11,4,2,33,2,2,1
472863979,Acugen Health,5,8,4,5,4,3,4,3,4,5,3,4,4,5,4,4,4,5,5,5,5,4,333,23,2,2,32,1,2,2
472977828,Acugen Health,5,10,4,5,5,3,3,3,4,4,2,4,4,5,4,5,4,5,5,5,5,2,153,4,4,1,20,1,2,2
473065462,Acugen Health,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,280,14,3,1,24,1,2,1
473139659,Acugen Health,4,5,3,4,1,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,233,18,3,2,25,1,2,1
473142348,Acugen Health,5,10,5,5,5,3,5,3,5,5,4,4,5,5,4,5,4,4,5,5,5,4,354,11,3,2,32,2,2,2
473178214,Acugen Health,5,10,4,5,3,4,5,4,4,4,4,4,3,4,4,5,4,5,4,4,4,2,141,10,4,1,26,1,2,1
473195962,Acugen Health,4,7,3,5,3,4,3,2,5,5,2,3,5,4,3,4,3,5,5,4,5,3,198,12,3,1,31,1,2,1
473212093,Acugen Health,5,9,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,3,252,8,5,1,21,1,2,1
473238709,Acugen Health,5,10,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,201,12,2,1,26,1,2,1
473242576,Acugen Health,4,9,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4,3,175,4,2,2,20,1,2,2
473252666,Acugen Health,4,6,3,4,2,3,3,1,4,4,3,3,3,3,4,4,3,4,4,4,4,2,164,8,4,2,16,1,2,2
473267246,Acugen Health,5,10,5,5,5,4,4,4,5,5,4,4,5,4,5,4,5,5,5,5,5,3,230,15,2,1,24,2,2,2
473277878,Acugen Health,4,7,3,4,3,3,4,2,3,4,2,2,3,3,3,4,3,3,4,4,4,3,213,11,4,1,22,2,2,3
473298432,Acugen Health,4,6,4,4,4,1,4,3,4,4,2,1,2,3,2,4,2,3,4,4,4,3,236,11,3,1,16,2,2,2
473441485,Acugen Health,5,10,5,5,4,5,4,4,4,4,4,3,4,5,4,5,4,4,5,4,5,2,126,8,2,2,20,2,2,2
473508564,Acugen Health,5,10,5,5,4,2,5,3,5,5,3,3,5,5,4,5,4,4,5,4,4,3,199,8,5,2,31,2,2,1
473599755,Acugen Health,5,10,5,4,4,4,4,3,4,5,3,3,4,4,5,4,4,4,4,4,4,4,356,25,3,1,31,2,2,1
473986618,Acugen Health,5,10,5,5,4,2,3,2,5,5,3,3,5,4,4,4,4,3,4,4,5,3,187,1,2,1,21,2,2,1
473987436,Acugen Health,4,9,3,5,2,2,3,1,4,5,1,2,5,4,1,5,4,4,5,5,5,3,264,14,2,2,25,1,2,1
473992327,Acugen Health,2,8,4,3,4,4,4,2,5,5,4,3,5,3,4,5,4,4,4,4,4,3,248,15,5,1,22,1,2,1
473996180,Acugen Health,4,9,2,5,1,5,1,1,4,5,3,2,5,5,3,3,1,3,5,5,4,3,236,13,1,1,26,1,2,1
474406365,Acugen Health,5,9,5,3,3,3,4,3,5,3,3,3,3,3,3,3,3,3,4,3,4,5,343,23,4,1,31,1,2,1
474437243,Acugen Health,5,9,5,5,4,2,4,2,3,5,2,3,3,3,3,5,3,4,5,4,4,4,321,19,3,2,31,1,2,1
474437441,Acugen Health,4,8,4,4,3,2,4,2,4,4,4,3,4,3,4,4,4,3,4,4,4,3,239,21,3,1,25,2,2,2
474437597,Acugen Health,4,5,3,4,3,3,3,3,4,4,2,3,4,4,2,3,3,4,3,3,4,3,167,12,5,1,22,1,2,2
474437618,Acugen Health,4,8,3,4,4,3,5,3,4,5,2,1,3,2,2,4,3,4,4,5,4,2,169,6,3,1,16,1,2,1
474438099,Acugen Health,5,10,5,5,4,3,5,3,4,5,4,3,5,4,4,4,4,4,4,5,4,2,170,10,3,1,28,1,2,2
474440721,Acugen Health,5,10,5,5,4,5,4,4,5,4,3,4,5,4,5,4,3,4,5,5,5,2,166,12,2,1,26,1,2,1
474441980,Acugen Health,5,7,4,4,2,5,3,4,5,5,4,2,5,5,3,5,5,4,4,5,5,4,302,19,3,2,32,1,2,1
474442741,Acugen Health,4,7,4,4,3,4,3,2,4,4,3,4,4,3,3,4,3,3,4,4,4,5,310,29,2,2,31,1,2,2
474443093,Acugen Health,4,9,4,3,2,2,2,2,4,4,3,2,4,2,3,4,2,3,4,4,4,2,177,5,2,1,31,1,2,2
474443360,Acugen Health,4,7,4,4,4,4,4,3,5,5,3,4,5,4,4,5,4,5,4,5,4,3,228,12,2,2,24,1,2,1
474446557,Acugen Health,4,7,4,4,3,3,4,5,5,5,5,3,4,4,3,4,3,2,4,4,4,3,237,14,2,1,23,1,2,1
